time_s,ridge_hz,true_hz,error_hz
0.25,7.568359375,7.5,0.068359375
0.302,8.056640625,8.02,0.036640625000000426
0.354,8.544921875,8.54,0.004921875000000853
0.406,9.033203125,9.06,-0.026796875000000497
0.458,9.521484375,9.58,-0.05851562500000007
0.51,10.009765625,10.1,-0.09023437499999964
0.562,10.498046875,10.620000000000001,-0.121953125000001
0.614,11.23046875,11.14,0.09046874999999943
0.666,11.71875,11.66,0.05874999999999986
0.718,12.20703125,12.18,0.027031250000000284
0.77,12.6953125,12.7,-0.0046874999999992895
0.822,13.18359375,13.219999999999999,-0.03640624999999886
0.874,13.671875,13.74,-0.06812500000000021
0.926,14.16015625,14.26,-0.09984374999999979
0.978,14.6484375,14.78,-0.13156249999999936
1.03,15.380859375,15.3,0.08085937499999929
1.082,15.869140625,15.82,0.049140624999999716
1.134,16.357421875,16.34,0.017421875000000142
1.186,16.845703125,16.86,-0.014296874999999432
1.238,17.333984375,17.38,-0.046015624999999005
1.29,17.822265625,17.9,-0.07773437499999858
1.342,18.310546875,18.42,-0.1094531250000017
1.394,19.04296875,18.939999999999998,0.10296875000000227
1.446,19.53125,19.46,0.07124999999999915
1.498,20.01953125,19.98,0.039531249999999574
1.55,20.5078125,20.5,0.0078125
1.602,20.99609375,21.02,-0.023906249999999574
1.654,21.484375,21.54,-0.05562499999999915
1.706,21.97265625,22.06,-0.08734374999999872
1.758,22.4609375,22.58,-0.1190624999999983
1.81,23.193359375,23.1,0.09335937499999858
1.862,23.681640625,23.62,0.061640624999999005
1.914,24.169921875,24.14,0.02992187499999943
1.966,24.658203125,24.66,-0.0017968750000001421
2.018,25.146484375,25.18,-0.033515624999999716
2.07,25.634765625,25.7,-0.06523437499999929
2.122,26.123046875,26.22,-0.09695312499999886
2.174,26.85546875,26.74,0.11546875000000156
2.226,27.34375,27.259999999999998,0.08375000000000199
2.278,27.83203125,27.78,0.05203124999999886
2.33,28.3203125,28.3,0.02031249999999929
2.382,28.80859375,28.82,-0.011406250000000284
2.434,29.296875,29.340000000000003,-0.04312500000000341
2.486,29.78515625,29.860000000000003,-0.07484375000000298
2.538,30.2734375,30.38,-0.106562499999999
2.59,31.005859375,30.9,0.10585937500000142
2.642,31.494140625,31.419999999999998,0.07414062500000185
2.694,31.982421875,31.939999999999998,0.042421875000002274
2.746,32.470703125,32.46,0.010703124999999147
2.798,32.958984375,32.980000000000004,-0.02101562500000398
2.85,33.447265625,33.5,-0.052734375
2.902,33.935546875,34.02,-0.08445312500000313
2.954,34.423828125,34.540000000000006,-0.11617187500000625
3.006,35.15625,35.06,0.09624999999999773
3.058,35.64453125,35.58,0.0645312500000017
3.11,36.1328125,36.099999999999994,0.032812500000005684
3.162,36.62109375,36.62,0.001093750000002558
3.214,37.109375,37.14,-0.03062500000000057
3.266,37.59765625,37.66,-0.06234374999999659
3.318,38.0859375,38.18,-0.09406249999999972
3.37,38.57421875,38.7,-0.12578125000000284
3.422,39.306640625,39.22,0.08664062500000114
3.474,39.794921875,39.74,0.05492187499999801
3.526,40.283203125,40.26,0.02320312500000199
3.578,40.771484375,40.78,-0.008515625000001137
3.63,41.259765625,41.3,-0.04023437499999716
3.682,41.748046875,41.82,-0.07195312500000028
3.734,42.236328125,42.34,-0.10367187500000341
